nohup: ignoring input
Device running: cuda
Namespace(n_neurons=320, n_layers=6, epochs=250, batchsize=512, lr=5e-05, no_decay=False, decay_rate=0.8, decay_at_interval=False, decay_interval=15, datapath='new_gmm.vti', outpath='./models/', exp_path='../logs/', modified_data_path='./data/', dataset_name='gmm_new', vti_name='predict_new_gmm_320.vti', vti_path='./data/')

Learning Rate: 5e-05
Batch Size: 512
Decay Rate: 0.8
Max Epochs: 250
Number of Neurons per Layer: 320
Number of Layers (including input/output): 8
Data Path: new_gmm.vti
Output Path: ./models/
Dataset Name: gmm_new
Vti Name: predict_new_gmm_320.vti
train_gmm_new_6rb_320n_512bs_5e-05lr_Truedecay_0.8dr_decayingAtInterval15
Decay: True
Extracting variables from path: new_gmm.vti

n_pts: 3125000 dim: (250, 250, 50) n_dim: 3 total_arr: 9
Total Variables: 9
Univariate: False
Coordinates Shape: (3125000, 3)
Values Shape: (3125000, 9)
0   -5992.2548828125   101.128173828125
1   -4931.54248046875   4880.267578125
2   -4931.541015625   11329.4013671875
3   0.0010000000474974513   5174.65625
4   0.0016644897405058146   3414.103271484375
5   0.0010000000474974513   5518.3505859375
Dataset Name: gmm_new
Total Variables: 9
Variables Name: ['GMM_Mean0', 'GMM_Mean1', 'GMM_Mean2', 'GMM_Std0', 'GMM_Std1', 'GMM_Std2', 'GMM_Weight0', 'GMM_Weight1', 'GMM_Weight2']

Total Points in Data: 3125000
Dimension of the Dataset: (250, 250, 50)
Number of Dimensions: 3
Coordinate Tensor Shape: torch.Size([3125000, 3])
Scalar Values Tensor Shape: torch.Size([3125000, 9])

###### Data setup is complete, now starting training ######

MyResidualSirenNet(
  (net_layers): ModuleList(
    (0): SineLayer(
      (linear): Linear(in_features=3, out_features=320, bias=True)
    )
    (1-6): 6 x ResidualSineLayer(
      (linear_1): Linear(in_features=320, out_features=320, bias=True)
      (linear_2): Linear(in_features=320, out_features=320, bias=True)
    )
    (7): Linear(in_features=320, out_features=9, bias=True)
  )
)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 5e-05
    maximize: False
    weight_decay: 0
)
MSELoss()

Learning Rate: 5e-05
Max Epochs: 250
Batch Size: 512
Number of Hidden Layers: 6
Number of Neurons per Layer: 320
Decay Rate: 0.8
Rate decays every 15 epochs.

  0%|          | 0/250 [00:00<?, ?it/s]Epoch: 1/250 | Train Loss: 0.002450604224577546 | Time: 124.54s (cuda) | LR: 5e-05
 51%|█████     | 127/250 [4:13:17<4:01:27, 117.79s/it]Epoch: 128/250 | Train Loss: 0.00393002899363637 | Time: 130.74s (cuda) | LR: 8.388608000000005e-06
 51%|█████     | 128/250 [4:15:28<4:07:24, 121.68s/it]Epoch: 129/250 | Train Loss: 0.003919779323041439 | Time: 121.33s (cuda) | LR: 8.388608000000005e-06
 52%|█████▏    | 129/250 [4:17:29<4:05:10, 121.58s/it]Epoch: 130/250 | Train Loss: 0.003927628509700298 | Time: 127.88s (cuda) | LR: 8.388608000000005e-06
 52%|█████▏    | 130/250 [4:19:37<4:06:56, 123.47s/it]Epoch: 131/250 | Train Loss: 0.003939813002943993 | Time: 123.13s (cuda) | LR: 8.388608000000005e-06
 52%|█████▏    | 131/250 [4:21:40<4:04:40, 123.37s/it]Epoch: 132/250 | Train Loss: 0.003931364975869656 | Time: 122.94s (cuda) | LR: 8.388608000000005e-06
 53%|█████▎    | 132/250 [4:23:43<4:02:22, 123.24s/it]Epoch: 133/250 | Train Loss: 0.003936197608709335 | Time: 128.97s (cuda) | LR: 8.388608000000005e-06
 53%|█████▎    | 133/250 [4:25:52<4:03:40, 124.96s/it]Epoch: 134/250 | Train Loss: 0.003936916124075651 | Time: 117.62s (cuda) | LR: 8.388608000000005e-06
 54%|█████▎    | 134/250 [4:27:50<3:57:20, 122.76s/it]Epoch: 135/250 | Train Loss: 0.003937652334570885 | Time: 127.94s (cuda) | LR: 8.388608000000005e-06
 54%|█████▍    | 135/250 [4:29:58<3:58:16, 124.32s/it]Epoch: 136/250 | Train Loss: 0.00392764201387763 | Time: 118.47s (cuda) | LR: 6.7108864000000044e-06
 54%|█████▍    | 136/250 [4:31:56<3:52:52, 122.56s/it]Epoch: 137/250 | Train Loss: 0.0038626648019999266 | Time: 128.93s (cuda) | LR: 6.7108864000000044e-06
 55%|█████▍    | 137/250 [4:34:05<3:54:25, 124.48s/it]Epoch: 138/250 | Train Loss: 0.0038549441378563643 | Time: 122.48s (cuda) | LR: 6.7108864000000044e-06
 55%|█████▌    | 138/250 [4:36:08<3:51:14, 123.88s/it]Epoch: 139/250 | Train Loss: 0.003839161479845643 | Time: 122.64s (cuda) | LR: 6.7108864000000044e-06
 56%|█████▌    | 139/250 [4:38:10<3:48:29, 123.51s/it]Epoch: 140/250 | Train Loss: 0.003835964249446988 | Time: 121.76s (cuda) | LR: 6.7108864000000044e-06
 56%|█████▌    | 140/250 [4:40:12<3:45:28, 122.99s/it]Epoch: 141/250 | Train Loss: 0.003846721025183797 | Time: 126.87s (cuda) | LR: 6.7108864000000044e-06
 56%|█████▋    | 141/250 [4:42:19<3:45:32, 124.16s/it]Epoch: 142/250 | Train Loss: 0.0038172840140759945 | Time: 126.48s (cuda) | LR: 6.7108864000000044e-06
 57%|█████▋    | 142/250 [4:44:26<3:44:44, 124.85s/it]Epoch: 143/250 | Train Loss: 0.003825272899121046 | Time: 120.33s (cuda) | LR: 6.7108864000000044e-06
 57%|█████▋    | 143/250 [4:46:26<3:40:14, 123.50s/it]Epoch: 144/250 | Train Loss: 0.003818863071501255 | Time: 127.24s (cuda) | LR: 6.7108864000000044e-06
 58%|█████▊    | 144/250 [4:48:33<3:40:10, 124.62s/it]Epoch: 145/250 | Train Loss: 0.0038156178779900074 | Time: 118.1s (cuda) | LR: 6.7108864000000044e-06
 58%|█████▊    | 145/250 [4:50:31<3:34:40, 122.67s/it]Epoch: 146/250 | Train Loss: 0.0038273499812930822 | Time: 124.07s (cuda) | LR: 6.7108864000000044e-06
 58%|█████▊    | 146/250 [4:52:35<3:33:21, 123.09s/it]Epoch: 147/250 | Train Loss: 0.0038210228085517883 | Time: 120.67s (cuda) | LR: 6.7108864000000044e-06
 59%|█████▉    | 147/250 [4:54:36<3:30:03, 122.37s/it]Epoch: 148/250 | Train Loss: 0.003819884965196252 | Time: 127.8s (cuda) | LR: 6.7108864000000044e-06
 59%|█████▉    | 148/250 [4:56:44<3:30:48, 124.00s/it]Epoch: 149/250 | Train Loss: 0.003827509470283985 | Time: 115.39s (cuda) | LR: 6.7108864000000044e-06
 60%|█████▉    | 149/250 [4:58:39<3:24:23, 121.42s/it]Epoch: 150/250 | Train Loss: 0.0038315439596772194 | Time: 124.8s (cuda) | LR: 6.7108864000000044e-06
 60%|██████    | 150/250 [5:00:44<3:24:04, 122.44s/it]Epoch: 151/250 | Train Loss: 0.0038116169162094593 | Time: 118.01s (cuda) | LR: 5.368709120000004e-06
 60%|██████    | 151/250 [5:02:42<3:19:50, 121.12s/it]Epoch: 152/250 | Train Loss: 0.003774241078644991 | Time: 126.27s (cuda) | LR: 5.368709120000004e-06
 61%|██████    | 152/250 [5:04:48<3:20:21, 122.67s/it]Epoch: 153/250 | Train Loss: 0.0037643362302333117 | Time: 125.0s (cuda) | LR: 5.368709120000004e-06
 61%|██████    | 153/250 [5:06:53<3:19:26, 123.37s/it]Epoch: 154/250 | Train Loss: 0.0037504953797906637 | Time: 126.93s (cuda) | LR: 5.368709120000004e-06
 62%|██████▏   | 154/250 [5:09:00<3:19:06, 124.44s/it]Epoch: 155/250 | Train Loss: 0.003744154702872038 | Time: 127.86s (cuda) | LR: 5.368709120000004e-06
 62%|██████▏   | 155/250 [5:11:08<3:18:39, 125.47s/it]Epoch: 156/250 | Train Loss: 0.0037474329583346844 | Time: 122.3s (cuda) | LR: 5.368709120000004e-06
 62%|██████▏   | 156/250 [5:13:11<3:15:04, 124.52s/it]Epoch: 157/250 | Train Loss: 0.003744391957297921 | Time: 130.39s (cuda) | LR: 5.368709120000004e-06
 63%|██████▎   | 157/250 [5:15:21<3:15:44, 126.28s/it]Epoch: 158/250 | Train Loss: 0.0037465705536305904 | Time: 117.94s (cuda) | LR: 5.368709120000004e-06
 63%|██████▎   | 158/250 [5:17:19<3:09:47, 123.78s/it]Epoch: 159/250 | Train Loss: 0.003743466455489397 | Time: 132.4s (cuda) | LR: 5.368709120000004e-06
 64%|██████▎   | 159/250 [5:19:31<3:11:39, 126.37s/it]Epoch: 160/250 | Train Loss: 0.0037451640237122774 | Time: 115.26s (cuda) | LR: 5.368709120000004e-06
 64%|██████▍   | 160/250 [5:21:27<3:04:33, 123.04s/it]Epoch: 161/250 | Train Loss: 0.0037417549174278975 | Time: 128.03s (cuda) | LR: 5.368709120000004e-06
 64%|██████▍   | 161/250 [5:23:35<3:04:43, 124.54s/it]Epoch: 162/250 | Train Loss: 0.003730451688170433 | Time: 122.61s (cuda) | LR: 5.368709120000004e-06
 65%|██████▍   | 162/250 [5:25:37<3:01:48, 123.96s/it]Epoch: 163/250 | Train Loss: 0.003721996210515499 | Time: 126.0s (cuda) | LR: 5.368709120000004e-06
 65%|██████▌   | 163/250 [5:27:43<3:00:37, 124.57s/it]Epoch: 164/250 | Train Loss: 0.0037354265805333853 | Time: 124.08s (cuda) | LR: 5.368709120000004e-06
 66%|██████▌   | 164/250 [5:29:47<2:58:20, 124.43s/it]Epoch: 165/250 | Train Loss: 0.0037199235521256924 | Time: 121.56s (cuda) | LR: 5.368709120000004e-06
 66%|██████▌   | 165/250 [5:31:49<2:55:03, 123.57s/it]Epoch: 166/250 | Train Loss: 0.0037381609436124563 | Time: 124.35s (cuda) | LR: 4.294967296000004e-06
 66%|██████▋   | 166/250 [5:33:53<2:53:19, 123.81s/it]Epoch: 167/250 | Train Loss: 0.003693144302815199 | Time: 126.07s (cuda) | LR: 4.294967296000004e-06
 67%|██████▋   | 167/250 [5:35:59<2:52:12, 124.49s/it]Epoch: 168/250 | Train Loss: 0.003678416134789586 | Time: 120.27s (cuda) | LR: 4.294967296000004e-06
 67%|██████▋   | 168/250 [5:38:00<2:48:24, 123.22s/it]Epoch: 169/250 | Train Loss: 0.0036795760970562696 | Time: 124.61s (cuda) | LR: 4.294967296000004e-06
 68%|██████▊   | 169/250 [5:40:04<2:46:54, 123.64s/it]Epoch: 170/250 | Train Loss: 0.003672662889584899 | Time: 120.38s (cuda) | LR: 4.294967296000004e-06
 68%|██████▊   | 170/250 [5:42:05<2:43:33, 122.67s/it]Epoch: 171/250 | Train Loss: 0.0036748480051755905 | Time: 124.63s (cuda) | LR: 4.294967296000004e-06
 68%|██████▊   | 171/250 [5:44:09<2:42:17, 123.26s/it]Epoch: 172/250 | Train Loss: 0.003668002085760236 | Time: 124.29s (cuda) | LR: 4.294967296000004e-06
 69%|██████▉   | 172/250 [5:46:14<2:40:38, 123.57s/it]Epoch: 173/250 | Train Loss: 0.003662391798570752 | Time: 122.18s (cuda) | LR: 4.294967296000004e-06
 69%|██████▉   | 173/250 [5:48:16<2:38:02, 123.16s/it]Epoch: 174/250 | Train Loss: 0.00367233925499022 | Time: 127.64s (cuda) | LR: 4.294967296000004e-06
 70%|██████▉   | 174/250 [5:50:23<2:37:42, 124.50s/it]Epoch: 175/250 | Train Loss: 0.0036638868041336536 | Time: 122.28s (cuda) | LR: 4.294967296000004e-06
 70%|███████   | 175/250 [5:52:26<2:34:47, 123.84s/it]Epoch: 176/250 | Train Loss: 0.003666999051347375 | Time: 132.46s (cuda) | LR: 4.294967296000004e-06
 70%|███████   | 176/250 [5:54:38<2:35:55, 126.43s/it]Epoch: 177/250 | Train Loss: 0.0036640146281570196 | Time: 120.01s (cuda) | LR: 4.294967296000004e-06
 71%|███████   | 177/250 [5:56:38<2:31:28, 124.50s/it]Epoch: 178/250 | Train Loss: 0.003667681710794568 | Time: 127.54s (cuda) | LR: 4.294967296000004e-06
 71%|███████   | 178/250 [5:58:46<2:30:29, 125.41s/it]Epoch: 179/250 | Train Loss: 0.0036574790719896555 | Time: 119.77s (cuda) | LR: 4.294967296000004e-06
 72%|███████▏  | 179/250 [6:00:45<2:26:24, 123.72s/it]Epoch: 180/250 | Train Loss: 0.0036640577018260956 | Time: 126.82s (cuda) | LR: 4.294967296000004e-06
 72%|███████▏  | 180/250 [6:02:52<2:25:25, 124.66s/it]Epoch: 181/250 | Train Loss: 0.0036554078105837107 | Time: 124.97s (cuda) | LR: 3.4359738368000033e-06
 72%|███████▏  | 181/250 [6:04:57<2:23:28, 124.75s/it]Epoch: 182/250 | Train Loss: 0.003631836036220193 | Time: 120.6s (cuda) | LR: 3.4359738368000033e-06
 73%|███████▎  | 182/250 [6:06:58<2:19:58, 123.51s/it]Epoch: 183/250 | Train Loss: 0.003617899026721716 | Time: 126.51s (cuda) | LR: 3.4359738368000033e-06
 73%|███████▎  | 183/250 [6:09:04<2:18:55, 124.41s/it]Epoch: 184/250 | Train Loss: 0.0036201742477715015 | Time: 120.82s (cuda) | LR: 3.4359738368000033e-06
 74%|███████▎  | 184/250 [6:11:05<2:15:40, 123.34s/it]Epoch: 185/250 | Train Loss: 0.003617124864831567 | Time: 127.3s (cuda) | LR: 3.4359738368000033e-06
 74%|███████▍  | 185/250 [6:13:12<2:14:54, 124.53s/it]Epoch: 186/250 | Train Loss: 0.0036143381148576736 | Time: 117.54s (cuda) | LR: 3.4359738368000033e-06
 74%|███████▍  | 186/250 [6:15:10<2:10:35, 122.43s/it]Epoch: 187/250 | Train Loss: 0.0036145849153399467 | Time: 129.35s (cuda) | LR: 3.4359738368000033e-06
 75%|███████▍  | 187/250 [6:17:19<2:10:44, 124.51s/it]Epoch: 188/250 | Train Loss: 0.0035996781662106514 | Time: 119.9s (cuda) | LR: 3.4359738368000033e-06
 75%|███████▌  | 188/250 [6:19:19<2:07:14, 123.13s/it]Epoch: 189/250 | Train Loss: 0.003612068248912692 | Time: 129.14s (cuda) | LR: 3.4359738368000033e-06
 76%|███████▌  | 189/250 [6:21:28<2:07:01, 124.93s/it]Epoch: 190/250 | Train Loss: 0.003606070065870881 | Time: 118.83s (cuda) | LR: 3.4359738368000033e-06
 76%|███████▌  | 190/250 [6:23:27<2:03:06, 123.11s/it]Epoch: 191/250 | Train Loss: 0.0035977319348603487 | Time: 123.1s (cuda) | LR: 3.4359738368000033e-06
 76%|███████▋  | 191/250 [6:25:30<2:01:03, 123.11s/it]Epoch: 192/250 | Train Loss: 0.0036074956879019737 | Time: 121.67s (cuda) | LR: 3.4359738368000033e-06
 77%|███████▋  | 192/250 [6:27:32<1:58:35, 122.68s/it]Epoch: 193/250 | Train Loss: 0.0036008895840495825 | Time: 123.71s (cuda) | LR: 3.4359738368000033e-06
 77%|███████▋  | 193/250 [6:29:36<1:56:50, 122.99s/it]Epoch: 194/250 | Train Loss: 0.0035999349784106016 | Time: 123.23s (cuda) | LR: 3.4359738368000033e-06
 78%|███████▊  | 194/250 [6:31:39<1:54:51, 123.07s/it]Epoch: 195/250 | Train Loss: 0.0036011142656207085 | Time: 124.9s (cuda) | LR: 3.4359738368000033e-06
 78%|███████▊  | 195/250 [6:33:44<1:53:19, 123.62s/it]Epoch: 196/250 | Train Loss: 0.0035947775468230247 | Time: 123.94s (cuda) | LR: 2.7487790694400027e-06
 78%|███████▊  | 196/250 [6:35:48<1:51:20, 123.72s/it]Epoch: 197/250 | Train Loss: 0.0035716353449970484 | Time: 119.32s (cuda) | LR: 2.7487790694400027e-06
 79%|███████▉  | 197/250 [6:37:47<1:48:07, 122.40s/it]Epoch: 198/250 | Train Loss: 0.003575292183086276 | Time: 131.79s (cuda) | LR: 2.7487790694400027e-06
 79%|███████▉  | 198/250 [6:39:59<1:48:31, 125.22s/it]Epoch: 199/250 | Train Loss: 0.0035553821362555027 | Time: 118.96s (cuda) | LR: 2.7487790694400027e-06
 80%|███████▉  | 199/250 [6:41:58<1:44:50, 123.35s/it]Epoch: 200/250 | Train Loss: 0.003559499280527234 | Time: 129.75s (cuda) | LR: 2.7487790694400027e-06
 80%|████████  | 200/250 [6:44:08<1:44:23, 125.27s/it]Epoch: 201/250 | Train Loss: 0.0035632203798741102 | Time: 121.53s (cuda) | LR: 2.7487790694400027e-06
 80%|████████  | 201/250 [6:46:09<1:41:23, 124.15s/it]Epoch: 202/250 | Train Loss: 0.0035617516841739416 | Time: 134.15s (cuda) | LR: 2.7487790694400027e-06
 81%|████████  | 202/250 [6:48:23<1:41:43, 127.15s/it]Epoch: 203/250 | Train Loss: 0.0035559399984776974 | Time: 125.0s (cuda) | LR: 2.7487790694400027e-06
 81%|████████  | 203/250 [6:50:28<1:39:05, 126.51s/it]Epoch: 204/250 | Train Loss: 0.003564126556739211 | Time: 125.65s (cuda) | LR: 2.7487790694400027e-06
 82%|████████▏ | 204/250 [6:52:34<1:36:47, 126.25s/it]Epoch: 205/250 | Train Loss: 0.003563761943951249 | Time: 130.18s (cuda) | LR: 2.7487790694400027e-06
 82%|████████▏ | 205/250 [6:54:44<1:35:34, 127.43s/it]Epoch: 206/250 | Train Loss: 0.003554553259164095 | Time: 119.65s (cuda) | LR: 2.7487790694400027e-06
 82%|████████▏ | 206/250 [6:56:44<1:31:44, 125.10s/it]Epoch: 207/250 | Train Loss: 0.0035669903736561537 | Time: 131.24s (cuda) | LR: 2.7487790694400027e-06
 83%|████████▎ | 207/250 [6:58:55<1:30:58, 126.95s/it]Epoch: 208/250 | Train Loss: 0.0035538035444915295 | Time: 122.11s (cuda) | LR: 2.7487790694400027e-06
 83%|████████▎ | 208/250 [7:00:57<1:27:50, 125.50s/it]Epoch: 209/250 | Train Loss: 0.0035593234933912754 | Time: 127.95s (cuda) | LR: 2.7487790694400027e-06
 84%|████████▎ | 209/250 [7:03:05<1:26:15, 126.24s/it]Epoch: 210/250 | Train Loss: 0.003554379567503929 | Time: 121.7s (cuda) | LR: 2.7487790694400027e-06
 84%|████████▍ | 210/250 [7:05:07<1:23:15, 124.88s/it]Epoch: 211/250 | Train Loss: 0.0035462535452097654 | Time: 122.59s (cuda) | LR: 2.1990232555520023e-06
 84%|████████▍ | 211/250 [7:07:10<1:20:43, 124.19s/it]Epoch: 212/250 | Train Loss: 0.003540764097124338 | Time: 120.43s (cuda) | LR: 2.1990232555520023e-06
 85%|████████▍ | 212/250 [7:09:10<1:17:56, 123.07s/it]Epoch: 213/250 | Train Loss: 0.0035252198576927185 | Time: 119.78s (cuda) | LR: 2.1990232555520023e-06
 85%|████████▌ | 213/250 [7:11:10<1:15:17, 122.08s/it]Epoch: 214/250 | Train Loss: 0.0035235167015343904 | Time: 119.97s (cuda) | LR: 2.1990232555520023e-06
 86%|████████▌ | 214/250 [7:13:10<1:12:52, 121.45s/it]Epoch: 215/250 | Train Loss: 0.003514033742249012 | Time: 122.8s (cuda) | LR: 2.1990232555520023e-06
 86%|████████▌ | 215/250 [7:15:13<1:11:05, 121.86s/it]Epoch: 216/250 | Train Loss: 0.0035244524478912354 | Time: 118.18s (cuda) | LR: 2.1990232555520023e-06
 86%|████████▋ | 216/250 [7:17:11<1:08:25, 120.76s/it]Epoch: 217/250 | Train Loss: 0.003520543221384287 | Time: 125.36s (cuda) | LR: 2.1990232555520023e-06
 87%|████████▋ | 217/250 [7:19:16<1:07:10, 122.14s/it]Epoch: 218/250 | Train Loss: 0.0035119412932544947 | Time: 115.82s (cuda) | LR: 2.1990232555520023e-06
 87%|████████▋ | 218/250 [7:21:12<1:04:07, 120.25s/it]Epoch: 219/250 | Train Loss: 0.003509074216708541 | Time: 125.71s (cuda) | LR: 2.1990232555520023e-06
 88%|████████▊ | 219/250 [7:23:18<1:02:58, 121.89s/it]Epoch: 220/250 | Train Loss: 0.00352017255499959 | Time: 119.84s (cuda) | LR: 2.1990232555520023e-06
 88%|████████▊ | 220/250 [7:25:18<1:00:38, 121.28s/it]Epoch: 221/250 | Train Loss: 0.003515997203066945 | Time: 119.22s (cuda) | LR: 2.1990232555520023e-06
 88%|████████▊ | 221/250 [7:27:17<58:19, 120.66s/it]  Epoch: 222/250 | Train Loss: 0.003518823767080903 | Time: 127.12s (cuda) | LR: 2.1990232555520023e-06
 89%|████████▉ | 222/250 [7:29:24<57:12, 122.60s/it]Epoch: 223/250 | Train Loss: 0.003522994229570031 | Time: 120.12s (cuda) | LR: 2.1990232555520023e-06
 89%|████████▉ | 223/250 [7:31:24<54:50, 121.86s/it]Epoch: 224/250 | Train Loss: 0.0035076842177659273 | Time: 128.97s (cuda) | LR: 2.1990232555520023e-06
 90%|████████▉ | 224/250 [7:33:33<53:43, 124.00s/it]Epoch: 225/250 | Train Loss: 0.0035285111516714096 | Time: 119.61s (cuda) | LR: 2.1990232555520023e-06
 90%|█████████ | 225/250 [7:35:33<51:07, 122.68s/it]Epoch: 226/250 | Train Loss: 0.003510966431349516 | Time: 124.27s (cuda) | LR: 1.7592186044416019e-06
 90%|█████████ | 226/250 [7:37:37<49:15, 123.16s/it]Epoch: 227/250 | Train Loss: 0.003506764769554138 | Time: 119.3s (cuda) | LR: 1.7592186044416019e-06
 91%|█████████ | 227/250 [7:39:36<46:46, 122.01s/it]Epoch: 228/250 | Train Loss: 0.003494078293442726 | Time: 122.36s (cuda) | LR: 1.7592186044416019e-06
 91%|█████████ | 228/250 [7:41:39<44:46, 122.11s/it]Epoch: 229/250 | Train Loss: 0.0034824854228645563 | Time: 123.47s (cuda) | LR: 1.7592186044416019e-06
 92%|█████████▏| 229/250 [7:43:42<42:52, 122.52s/it]Epoch: 230/250 | Train Loss: 0.003492394695058465 | Time: 123.57s (cuda) | LR: 1.7592186044416019e-06
 92%|█████████▏| 230/250 [7:45:46<40:56, 122.84s/it]Epoch: 231/250 | Train Loss: 0.003489031223580241 | Time: 123.6s (cuda) | LR: 1.7592186044416019e-06
 92%|█████████▏| 231/250 [7:47:49<38:58, 123.07s/it]Epoch: 232/250 | Train Loss: 0.0034831541124731302 | Time: 127.1s (cuda) | LR: 1.7592186044416019e-06
 93%|█████████▎| 232/250 [7:49:56<37:17, 124.28s/it]Epoch: 233/250 | Train Loss: 0.003484382526949048 | Time: 120.14s (cuda) | LR: 1.7592186044416019e-06
 93%|█████████▎| 233/250 [7:51:57<34:51, 123.04s/it]Epoch: 234/250 | Train Loss: 0.0034841999877244234 | Time: 124.95s (cuda) | LR: 1.7592186044416019e-06
 94%|█████████▎| 234/250 [7:54:01<32:57, 123.62s/it]Epoch: 235/250 | Train Loss: 0.003479177597910166 | Time: 120.08s (cuda) | LR: 1.7592186044416019e-06
 94%|█████████▍| 235/250 [7:56:02<30:38, 122.56s/it]Epoch: 236/250 | Train Loss: 0.0034733847714960575 | Time: 124.0s (cuda) | LR: 1.7592186044416019e-06
 94%|█████████▍| 236/250 [7:58:06<28:41, 122.99s/it]Epoch: 237/250 | Train Loss: 0.003477250225841999 | Time: 125.06s (cuda) | LR: 1.7592186044416019e-06
 95%|█████████▍| 237/250 [8:00:11<26:46, 123.61s/it]Epoch: 238/250 | Train Loss: 0.003469947725534439 | Time: 122.68s (cuda) | LR: 1.7592186044416019e-06
 95%|█████████▌| 238/250 [8:02:13<24:40, 123.34s/it]Epoch: 239/250 | Train Loss: 0.0034810269717127085 | Time: 126.83s (cuda) | LR: 1.7592186044416019e-06
 96%|█████████▌| 239/250 [8:04:20<22:48, 124.39s/it]Epoch: 240/250 | Train Loss: 0.003486194647848606 | Time: 116.91s (cuda) | LR: 1.7592186044416019e-06
 96%|█████████▌| 240/250 [8:06:17<20:21, 122.15s/it]Epoch: 241/250 | Train Loss: 0.0034834190737456083 | Time: 127.59s (cuda) | LR: 1.4073748835532816e-06
 96%|█████████▋| 241/250 [8:08:25<18:34, 123.78s/it]Epoch: 242/250 | Train Loss: 0.0034677297808229923 | Time: 116.6s (cuda) | LR: 1.4073748835532816e-06
 97%|█████████▋| 242/250 [8:10:21<16:13, 121.63s/it]Epoch: 243/250 | Train Loss: 0.0034670811146497726 | Time: 128.39s (cuda) | LR: 1.4073748835532816e-06
 97%|█████████▋| 243/250 [8:12:30<14:25, 123.66s/it]Epoch: 244/250 | Train Loss: 0.003466288559138775 | Time: 119.0s (cuda) | LR: 1.4073748835532816e-06
 98%|█████████▊| 244/250 [8:14:29<12:13, 122.26s/it]Epoch: 245/250 | Train Loss: 0.003463971894234419 | Time: 125.4s (cuda) | LR: 1.4073748835532816e-06
 98%|█████████▊| 245/250 [8:16:34<10:16, 123.21s/it]Epoch: 246/250 | Train Loss: 0.0034586270339787006 | Time: 119.3s (cuda) | LR: 1.4073748835532816e-06
 98%|█████████▊| 246/250 [8:18:33<08:08, 122.04s/it]Epoch: 247/250 | Train Loss: 0.003462147666141391 | Time: 125.48s (cuda) | LR: 1.4073748835532816e-06
 99%|█████████▉| 247/250 [8:20:39<06:09, 123.07s/it]Epoch: 248/250 | Train Loss: 0.003459881991147995 | Time: 119.67s (cuda) | LR: 1.4073748835532816e-06
 99%|█████████▉| 248/250 [8:22:39<04:04, 122.05s/it]Epoch: 249/250 | Train Loss: 0.003453102894127369 | Time: 123.83s (cuda) | LR: 1.4073748835532816e-06
100%|█████████▉| 249/250 [8:24:42<02:02, 122.59s/it]Epoch: 250/250 | Train Loss: 0.0034496316220611334 | Time: 119.61s (cuda) | LR: 1.4073748835532816e-06
100%|██████████| 250/250 [8:26:42<00:00, 121.70s/it]100%|██████████| 250/250 [8:26:42<00:00, 121.61s/it]

Epoch with Least Loss: 1 | Loss: 0.0024506042 

GMM_Mean0  PSNR: 28.770315711023553
GMM_Mean1  PSNR: 33.413247561193366
GMM_Mean2  PSNR: 32.02467769643811
GMM_Std0  PSNR: 29.40082577569841
GMM_Std1  PSNR: 28.38302035027993
GMM_Std2  PSNR: 29.97632381097847
GMM_Weight0  PSNR: 21.565329800329124
GMM_Weight1  PSNR: 23.864583658388526
GMM_Weight2  PSNR: 21.120299434702112

Average psnr :  27.61318042211462
RMSE: 0.05880897994456717
GMM_Mean0  PSNR: 28.770315711023553
GMM_Mean1  PSNR: 33.413247561193366
GMM_Mean2  PSNR: 32.02467769643811
GMM_Std0  PSNR: 29.40082577569841
GMM_Std1  PSNR: 28.38302035027993
GMM_Std2  PSNR: 29.97632381097847
GMM_Weight0  PSNR: 21.565329800329124
GMM_Weight1  PSNR: 23.864583658388526
GMM_Weight2  PSNR: 21.120299434702112

Average psnr :  27.61318042211462
RMSE: 0.05880897994456717
0   -5992.2548828125   101.128173828125
1   -4931.54248046875   4880.267578125
2   -4931.541015625   11329.4013671875
3   0.0010000000474974513   5174.65625
4   0.0016644897405058146   3414.103271484375
5   0.0010000000474974513   5518.3505859375
6   0.0013235777150839567   0.6215506792068481
7   0.13049592077732086   0.7736025452613831
8   0.0017343669896945357   0.5913049578666687
Vti File written successfully at ./data/predict_new_gmm_320.vti
