nohup: ignoring input
Could not save font_manager cache [Errno 122] Disk quota exceeded
Device running: cuda
Namespace(n_neurons=320, n_layers=6, epochs=200, batchsize=512, lr=5e-05, no_decay=False, decay_rate=0.8, decay_at_interval=True, decay_interval=15, datapath='new_gmm_isabel_week_6.vti', outpath='./models/', exp_path='../logs/', modified_data_path='./data/', dataset_name='3d_data', vti_name='predicted_isabel_7.vti', vti_path='./data/')

Learning Rate: 5e-05
Batch Size: 512
Decay Rate: 0.8
Max Epochs: 200
Number of Neurons per Layer: 320
Number of Layers (including input/output): 8
Data Path: new_gmm_isabel_week_6.vti
Output Path: ./models/
Dataset Name: 3d_data
Vti Name: predicted_isabel_7.vti
train_3d_data_6rb_320n_512bs_5e-05lr_Truedecay_0.8dr_decayingAtInterval15
Decay: True
Extracting variables from path: new_gmm_isabel_week_6.vti

n_pts: 3125000 dim: (250, 250, 50) n_dim: 3 total_arr: 9
Total Variables: 9
Univariate: False
Coordinates Shape: (3125000, 3)
Values Shape: (3125000, 9)
Dataset Name: 3d_data
Total Variables: 9
Variables Name: ['GMM_Mean0', 'GMM_Mean1', 'GMM_Mean2', 'GMM_Std0', 'GMM_Std1', 'GMM_Std2', 'GMM_Weight0', 'GMM_Weight1', 'GMM_Weight2']

Total Points in Data: 3125000
Dimension of the Dataset: (250, 250, 50)
Number of Dimensions: 3
Coordinate Tensor Shape: torch.Size([3125000, 3])
Scalar Values Tensor Shape: torch.Size([3125000, 9])

###### Data setup is complete, now starting training ######

MyResidualSirenNet(
  (net_layers): ModuleList(
    (0): SineLayer(
      (linear): Linear(in_features=3, out_features=320, bias=True)
    )
    (1-6): 6 x ResidualSineLayer(
      (linear_1): Linear(in_features=320, out_features=320, bias=True)
      (linear_2): Linear(in_features=320, out_features=320, bias=True)
    )
    (7): Linear(in_features=320, out_features=9, bias=True)
  )
)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 5e-05
    maximize: False
    weight_decay: 0
)
MSELoss()

Learning Rate: 5e-05
Max Epochs: 200
Batch Size: 512
Number of Hidden Layers: 6
Number of Neurons per Layer: 320
Decay Rate: 0.8
Rate decays every 15 epochs.

  0%|          | 0/200 [00:00<?, ?it/s]  0%|          | 1/200 [02:00<6:38:20, 120.10s/it]Epoch: 1/200 | Total Loss: 0.011810 | Entropy Loss: 1.070037 | Time: 120.1s | LR: 5e-05
  1%|          | 2/200 [03:56<6:29:54, 118.16s/it]Epoch: 2/200 | Total Loss: 0.012026 | Entropy Loss: 1.070040 | Time: 116.79s | LR: 4e-05
 59%|█████▉    | 118/200 [3:52:25<2:40:19, 117.31s/it]Epoch: 118/200 | Total Loss: 0.011750 | Entropy Loss: 1.070039 | Time: 118.91s | LR: 1.622592768292137e-08
 60%|█████▉    | 119/200 [3:54:22<2:38:17, 117.25s/it]Epoch: 119/200 | Total Loss: 0.011747 | Entropy Loss: 1.070035 | Time: 117.12s | LR: 1.622592768292137e-08
 60%|██████    | 120/200 [3:56:18<2:35:52, 116.91s/it]Epoch: 120/200 | Total Loss: 0.011745 | Entropy Loss: 1.070041 | Time: 116.12s | LR: 1.622592768292137e-08
 60%|██████    | 121/200 [3:58:16<2:34:21, 117.24s/it]Epoch: 121/200 | Total Loss: 0.011745 | Entropy Loss: 1.070032 | Time: 117.99s | LR: 1.2980742146337097e-08
 61%|██████    | 122/200 [4:00:08<2:30:13, 115.55s/it]Epoch: 122/200 | Total Loss: 0.011743 | Entropy Loss: 1.070043 | Time: 111.62s | LR: 1.2980742146337097e-08
 62%|██████▏   | 123/200 [4:01:53<2:24:19, 112.46s/it]Epoch: 123/200 | Total Loss: 0.011739 | Entropy Loss: 1.070038 | Time: 105.26s | LR: 1.2980742146337097e-08
 62%|██████▏   | 124/200 [4:03:49<2:23:58, 113.66s/it]Epoch: 124/200 | Total Loss: 0.011738 | Entropy Loss: 1.070040 | Time: 116.46s | LR: 1.2980742146337097e-08
 62%|██████▎   | 125/200 [4:05:46<2:23:06, 114.48s/it]Epoch: 125/200 | Total Loss: 0.011738 | Entropy Loss: 1.070038 | Time: 116.38s | LR: 1.2980742146337097e-08
 63%|██████▎   | 126/200 [4:07:46<2:23:24, 116.28s/it]Epoch: 126/200 | Total Loss: 0.011738 | Entropy Loss: 1.070040 | Time: 120.47s | LR: 1.0384593717069679e-08
 64%|██████▎   | 127/200 [4:09:41<2:21:02, 115.93s/it]Epoch: 127/200 | Total Loss: 0.011734 | Entropy Loss: 1.070042 | Time: 115.1s | LR: 1.0384593717069679e-08
 64%|██████▍   | 128/200 [4:11:39<2:19:44, 116.45s/it]Epoch: 128/200 | Total Loss: 0.011730 | Entropy Loss: 1.070042 | Time: 117.68s | LR: 1.0384593717069679e-08
 64%|██████▍   | 129/200 [4:13:38<2:18:45, 117.27s/it]Epoch: 129/200 | Total Loss: 0.011729 | Entropy Loss: 1.070042 | Time: 119.17s | LR: 1.0384593717069679e-08
 65%|██████▌   | 130/200 [4:15:35<2:16:33, 117.05s/it]Epoch: 130/200 | Total Loss: 0.011727 | Entropy Loss: 1.070040 | Time: 116.55s | LR: 1.0384593717069679e-08
 66%|██████▌   | 131/200 [4:17:32<2:14:38, 117.08s/it]Epoch: 131/200 | Total Loss: 0.011727 | Entropy Loss: 1.070035 | Time: 117.16s | LR: 1.0384593717069679e-08
 66%|██████▌   | 132/200 [4:19:27<2:12:09, 116.62s/it]Epoch: 132/200 | Total Loss: 0.011725 | Entropy Loss: 1.070046 | Time: 115.52s | LR: 1.0384593717069679e-08
 66%|██████▋   | 133/200 [4:21:25<2:10:36, 116.97s/it]Epoch: 133/200 | Total Loss: 0.011726 | Entropy Loss: 1.070039 | Time: 117.78s | LR: 8.307674973655743e-09
 67%|██████▋   | 134/200 [4:23:22<2:08:46, 117.07s/it]Epoch: 134/200 | Total Loss: 0.011719 | Entropy Loss: 1.070038 | Time: 117.32s | LR: 8.307674973655743e-09
 68%|██████▊   | 135/200 [4:25:03<2:01:27, 112.11s/it]Epoch: 135/200 | Total Loss: 0.011715 | Entropy Loss: 1.070040 | Time: 100.54s | LR: 8.307674973655743e-09
 68%|██████▊   | 136/200 [4:26:57<2:00:03, 112.55s/it]Epoch: 136/200 | Total Loss: 0.011715 | Entropy Loss: 1.070039 | Time: 113.56s | LR: 6.646139978924595e-09
 68%|██████▊   | 137/200 [4:28:56<2:00:19, 114.59s/it]Epoch: 137/200 | Total Loss: 0.011710 | Entropy Loss: 1.070042 | Time: 119.35s | LR: 6.646139978924595e-09
 69%|██████▉   | 138/200 [4:30:48<1:57:46, 113.97s/it]Epoch: 138/200 | Total Loss: 0.011703 | Entropy Loss: 1.070043 | Time: 112.53s | LR: 6.646139978924595e-09
 70%|██████▉   | 139/200 [4:32:44<1:56:24, 114.50s/it]Epoch: 139/200 | Total Loss: 0.011701 | Entropy Loss: 1.070040 | Time: 115.73s | LR: 6.646139978924595e-09
 70%|███████   | 140/200 [4:34:41<1:55:14, 115.24s/it]Epoch: 140/200 | Total Loss: 0.011702 | Entropy Loss: 1.070040 | Time: 116.96s | LR: 5.316911983139676e-09
 70%|███████   | 141/200 [4:36:36<1:53:19, 115.25s/it]Epoch: 141/200 | Total Loss: 0.011693 | Entropy Loss: 1.070039 | Time: 115.27s | LR: 5.316911983139676e-09
 71%|███████   | 142/200 [4:38:34<1:52:08, 116.01s/it]Epoch: 142/200 | Total Loss: 0.011686 | Entropy Loss: 1.070042 | Time: 117.78s | LR: 5.316911983139676e-09
 72%|███████▏  | 143/200 [4:40:32<1:50:41, 116.51s/it]Epoch: 143/200 | Total Loss: 0.011682 | Entropy Loss: 1.070043 | Time: 117.68s | LR: 5.316911983139676e-09
 72%|███████▏  | 144/200 [4:42:31<1:49:20, 117.16s/it]Epoch: 144/200 | Total Loss: 0.011680 | Entropy Loss: 1.070043 | Time: 118.67s | LR: 5.316911983139676e-09
 72%|███████▎  | 145/200 [4:44:28<1:47:25, 117.19s/it]Epoch: 145/200 | Total Loss: 0.011678 | Entropy Loss: 1.070043 | Time: 117.27s | LR: 5.316911983139676e-09
 73%|███████▎  | 146/200 [4:46:25<1:45:24, 117.11s/it]Epoch: 146/200 | Total Loss: 0.011677 | Entropy Loss: 1.070041 | Time: 116.93s | LR: 5.316911983139676e-09
 74%|███████▎  | 147/200 [4:48:21<1:43:18, 116.95s/it]Epoch: 147/200 | Total Loss: 0.011675 | Entropy Loss: 1.070040 | Time: 116.55s | LR: 5.316911983139676e-09
 74%|███████▍  | 148/200 [4:49:56<1:35:39, 110.38s/it]Epoch: 148/200 | Total Loss: 0.011672 | Entropy Loss: 1.070042 | Time: 95.05s | LR: 5.316911983139676e-09
 74%|███████▍  | 149/200 [4:51:54<1:35:35, 112.47s/it]Epoch: 149/200 | Total Loss: 0.011672 | Entropy Loss: 1.070042 | Time: 117.35s | LR: 4.253529586511741e-09
 75%|███████▌  | 150/200 [4:53:47<1:34:01, 112.82s/it]Epoch: 150/200 | Total Loss: 0.011662 | Entropy Loss: 1.070043 | Time: 113.62s | LR: 4.253529586511741e-09
 76%|███████▌  | 151/200 [4:55:45<1:33:15, 114.20s/it]Epoch: 151/200 | Total Loss: 0.011655 | Entropy Loss: 1.070043 | Time: 117.42s | LR: 3.402823669209393e-09
 76%|███████▌  | 152/200 [4:57:44<1:32:35, 115.74s/it]Epoch: 152/200 | Total Loss: 0.011644 | Entropy Loss: 1.070044 | Time: 119.33s | LR: 3.402823669209393e-09
 76%|███████▋  | 153/200 [4:59:44<1:31:31, 116.85s/it]Epoch: 153/200 | Total Loss: 0.011636 | Entropy Loss: 1.070043 | Time: 119.42s | LR: 3.402823669209393e-09
 77%|███████▋  | 154/200 [5:01:43<1:30:04, 117.48s/it]Epoch: 154/200 | Total Loss: 0.011629 | Entropy Loss: 1.070045 | Time: 118.95s | LR: 3.402823669209393e-09
 78%|███████▊  | 155/200 [5:03:40<1:28:07, 117.50s/it]Epoch: 155/200 | Total Loss: 0.011622 | Entropy Loss: 1.070045 | Time: 117.55s | LR: 3.402823669209393e-09
 78%|███████▊  | 156/200 [5:05:39<1:26:26, 117.86s/it]Epoch: 156/200 | Total Loss: 0.011618 | Entropy Loss: 1.070044 | Time: 118.71s | LR: 3.402823669209393e-09
 78%|███████▊  | 157/200 [5:07:37<1:24:32, 117.98s/it]Epoch: 157/200 | Total Loss: 0.011612 | Entropy Loss: 1.070047 | Time: 118.24s | LR: 3.402823669209393e-09
 79%|███████▉  | 158/200 [5:09:37<1:23:02, 118.64s/it]Epoch: 158/200 | Total Loss: 0.011608 | Entropy Loss: 1.070045 | Time: 120.19s | LR: 3.402823669209393e-09
 80%|███████▉  | 159/200 [5:11:42<1:22:13, 120.33s/it]Epoch: 159/200 | Total Loss: 0.011604 | Entropy Loss: 1.070045 | Time: 124.27s | LR: 3.402823669209393e-09
 80%|████████  | 160/200 [5:13:43<1:20:30, 120.77s/it]Epoch: 160/200 | Total Loss: 0.011601 | Entropy Loss: 1.070045 | Time: 121.79s | LR: 3.402823669209393e-09
 80%|████████  | 161/200 [5:15:44<1:18:31, 120.81s/it]Epoch: 161/200 | Total Loss: 0.011598 | Entropy Loss: 1.070047 | Time: 120.91s | LR: 3.402823669209393e-09
 81%|████████  | 162/200 [5:17:45<1:16:32, 120.84s/it]Epoch: 162/200 | Total Loss: 0.011592 | Entropy Loss: 1.070046 | Time: 120.92s | LR: 3.402823669209393e-09
 82%|████████▏ | 163/200 [5:19:51<1:15:22, 122.23s/it]Epoch: 163/200 | Total Loss: 0.011589 | Entropy Loss: 1.070046 | Time: 125.45s | LR: 3.402823669209393e-09
 82%|████████▏ | 164/200 [5:21:50<1:12:46, 121.29s/it]Epoch: 164/200 | Total Loss: 0.011586 | Entropy Loss: 1.070045 | Time: 119.09s | LR: 3.402823669209393e-09
 82%|████████▎ | 165/200 [5:23:47<1:09:59, 120.00s/it]Epoch: 165/200 | Total Loss: 0.011582 | Entropy Loss: 1.070047 | Time: 117.0s | LR: 3.402823669209393e-09
 83%|████████▎ | 166/200 [5:25:46<1:07:57, 119.92s/it]Epoch: 166/200 | Total Loss: 0.011580 | Entropy Loss: 1.070046 | Time: 119.75s | LR: 2.7222589353675143e-09
 84%|████████▎ | 167/200 [5:27:49<1:06:25, 120.77s/it]Epoch: 167/200 | Total Loss: 0.011571 | Entropy Loss: 1.070047 | Time: 122.74s | LR: 2.7222589353675143e-09
 84%|████████▍ | 168/200 [5:29:50<1:04:22, 120.71s/it]Epoch: 168/200 | Total Loss: 0.011562 | Entropy Loss: 1.070046 | Time: 120.56s | LR: 2.7222589353675143e-09
 84%|████████▍ | 169/200 [5:31:52<1:02:37, 121.21s/it]Epoch: 169/200 | Total Loss: 0.011558 | Entropy Loss: 1.070045 | Time: 122.37s | LR: 2.7222589353675143e-09
 85%|████████▌ | 170/200 [5:33:55<1:00:49, 121.64s/it]Epoch: 170/200 | Total Loss: 0.011552 | Entropy Loss: 1.070048 | Time: 122.65s | LR: 2.7222589353675143e-09
 86%|████████▌ | 171/200 [5:36:01<59:28, 123.05s/it]  Epoch: 171/200 | Total Loss: 0.011547 | Entropy Loss: 1.070049 | Time: 126.35s | LR: 2.7222589353675143e-09
 86%|████████▌ | 172/200 [5:38:05<57:28, 123.16s/it]Epoch: 172/200 | Total Loss: 0.011544 | Entropy Loss: 1.070047 | Time: 123.41s | LR: 2.7222589353675143e-09
 86%|████████▋ | 173/200 [5:40:06<55:12, 122.68s/it]Epoch: 173/200 | Total Loss: 0.011541 | Entropy Loss: 1.070047 | Time: 121.54s | LR: 2.7222589353675143e-09
 87%|████████▋ | 174/200 [5:41:54<51:11, 118.12s/it]Epoch: 174/200 | Total Loss: 0.011536 | Entropy Loss: 1.070048 | Time: 107.49s | LR: 2.7222589353675143e-09
 88%|████████▊ | 175/200 [5:43:52<49:16, 118.26s/it]Epoch: 175/200 | Total Loss: 0.011531 | Entropy Loss: 1.070048 | Time: 118.6s | LR: 2.7222589353675143e-09
 88%|████████▊ | 176/200 [5:45:53<47:35, 118.96s/it]Epoch: 176/200 | Total Loss: 0.011527 | Entropy Loss: 1.070049 | Time: 120.58s | LR: 2.7222589353675143e-09
 88%|████████▊ | 177/200 [5:47:51<45:28, 118.65s/it]Epoch: 177/200 | Total Loss: 0.011523 | Entropy Loss: 1.070048 | Time: 117.92s | LR: 2.7222589353675143e-09
 89%|████████▉ | 178/200 [5:49:55<44:08, 120.37s/it]Epoch: 178/200 | Total Loss: 0.011520 | Entropy Loss: 1.070049 | Time: 124.38s | LR: 2.7222589353675143e-09
 90%|████████▉ | 179/200 [5:52:00<42:35, 121.67s/it]Epoch: 179/200 | Total Loss: 0.011515 | Entropy Loss: 1.070048 | Time: 124.71s | LR: 2.7222589353675143e-09
 90%|█████████ | 180/200 [5:54:06<40:58, 122.91s/it]Epoch: 180/200 | Total Loss: 0.011512 | Entropy Loss: 1.070049 | Time: 125.8s | LR: 2.7222589353675143e-09
 90%|█████████ | 181/200 [5:56:06<38:41, 122.16s/it]Epoch: 181/200 | Total Loss: 0.011507 | Entropy Loss: 1.070048 | Time: 120.41s | LR: 2.1778071482940114e-09
 91%|█████████ | 182/200 [5:58:08<36:38, 122.12s/it]Epoch: 182/200 | Total Loss: 0.011498 | Entropy Loss: 1.070049 | Time: 122.01s | LR: 2.1778071482940114e-09
 92%|█████████▏| 183/200 [6:00:06<34:16, 120.99s/it]Epoch: 183/200 | Total Loss: 0.011491 | Entropy Loss: 1.070049 | Time: 118.36s | LR: 2.1778071482940114e-09
 92%|█████████▏| 184/200 [6:02:09<32:22, 121.43s/it]Epoch: 184/200 | Total Loss: 0.011486 | Entropy Loss: 1.070050 | Time: 122.44s | LR: 2.1778071482940114e-09
 92%|█████████▎| 185/200 [6:04:10<30:18, 121.24s/it]Epoch: 185/200 | Total Loss: 0.011480 | Entropy Loss: 1.070049 | Time: 120.79s | LR: 2.1778071482940114e-09
 93%|█████████▎| 186/200 [6:06:08<28:04, 120.29s/it]Epoch: 186/200 | Total Loss: 0.011476 | Entropy Loss: 1.070051 | Time: 118.09s | LR: 2.1778071482940114e-09
 94%|█████████▎| 187/200 [6:08:09<26:09, 120.70s/it]Epoch: 187/200 | Total Loss: 0.011472 | Entropy Loss: 1.070050 | Time: 121.64s | LR: 2.1778071482940114e-09
 94%|█████████▍| 188/200 [6:10:05<23:48, 119.06s/it]Epoch: 188/200 | Total Loss: 0.011468 | Entropy Loss: 1.070050 | Time: 115.25s | LR: 2.1778071482940114e-09
 94%|█████████▍| 189/200 [6:12:08<22:02, 120.26s/it]Epoch: 189/200 | Total Loss: 0.011463 | Entropy Loss: 1.070050 | Time: 123.05s | LR: 2.1778071482940114e-09
 95%|█████████▌| 190/200 [6:14:08<20:01, 120.17s/it]Epoch: 190/200 | Total Loss: 0.011460 | Entropy Loss: 1.070050 | Time: 119.95s | LR: 2.1778071482940114e-09
 96%|█████████▌| 191/200 [6:16:00<17:41, 117.92s/it]Epoch: 191/200 | Total Loss: 0.011457 | Entropy Loss: 1.070051 | Time: 112.67s | LR: 2.1778071482940114e-09
 96%|█████████▌| 192/200 [6:17:57<15:41, 117.73s/it]Epoch: 192/200 | Total Loss: 0.011453 | Entropy Loss: 1.070049 | Time: 117.3s | LR: 2.1778071482940114e-09
 96%|█████████▋| 193/200 [6:19:56<13:45, 117.91s/it]Epoch: 193/200 | Total Loss: 0.011451 | Entropy Loss: 1.070050 | Time: 118.32s | LR: 2.1778071482940114e-09
 97%|█████████▋| 194/200 [6:21:53<11:46, 117.76s/it]Epoch: 194/200 | Total Loss: 0.011448 | Entropy Loss: 1.070050 | Time: 117.4s | LR: 2.1778071482940114e-09
 98%|█████████▊| 195/200 [6:23:52<09:49, 118.00s/it]Epoch: 195/200 | Total Loss: 0.011446 | Entropy Loss: 1.070050 | Time: 118.55s | LR: 2.1778071482940114e-09
 98%|█████████▊| 196/200 [6:25:51<07:53, 118.36s/it]Epoch: 196/200 | Total Loss: 0.011443 | Entropy Loss: 1.070048 | Time: 119.2s | LR: 1.7422457186352093e-09
 98%|█████████▊| 197/200 [6:27:50<05:55, 118.60s/it]Epoch: 197/200 | Total Loss: 0.011438 | Entropy Loss: 1.070048 | Time: 119.16s | LR: 1.7422457186352093e-09
 99%|█████████▉| 198/200 [6:29:50<03:57, 118.94s/it]Epoch: 198/200 | Total Loss: 0.011436 | Entropy Loss: 1.070048 | Time: 119.74s | LR: 1.7422457186352093e-09
100%|█████████▉| 199/200 [6:31:50<01:59, 119.34s/it]Epoch: 199/200 | Total Loss: 0.011435 | Entropy Loss: 1.070049 | Time: 120.27s | LR: 1.7422457186352093e-09
100%|██████████| 200/200 [6:33:48<00:00, 118.90s/it]100%|██████████| 200/200 [6:33:48<00:00, 118.14s/it]
Epoch: 200/200 | Total Loss: 0.011433 | Entropy Loss: 1.070048 | Time: 117.84s | LR: 1.7422457186352093e-09

Epoch with Least Loss: 200 | Loss: 0.011433432297048745 

GMM_Mean0  PSNR: 13.945548949963115
GMM_Mean1  PSNR: 14.61212166858056
GMM_Mean2  PSNR: 23.066392824816187
GMM_Std0  PSNR: 7.663105640752413
GMM_Std1  PSNR: 7.179860834685209
GMM_Std2  PSNR: 6.519870840793944
GMM_Weight0  PSNR: 14.337762797269463
GMM_Weight1  PSNR: 8.01693593692975
GMM_Weight2  PSNR: 18.44238522668966

Average psnr :  12.642664968942256
mean 11.27092758449433
RMSE: 0.5463659380878997
GMM_Mean0  PSNR: 13.945548949963115
GMM_Mean1  PSNR: 14.61212166858056
GMM_Mean2  PSNR: 23.066392824816187
GMM_Std0  PSNR: 7.663105640752413
GMM_Std1  PSNR: 7.179860834685209
GMM_Std2  PSNR: 6.519870840793944
GMM_Weight0  PSNR: 14.337762797269463
GMM_Weight1  PSNR: 8.01693593692975
GMM_Weight2  PSNR: 18.44238522668966

Average psnr :  12.642664968942256
RMSE: 0.5463659380878997
Traceback (most recent call last):
  File "/data/tsudhakar24/thesis/parameter_learning_main_wweek_7.py", line 887, in <module>
    print(os.path.getsize('/kaggle/working/models/train_3d_data_200ep_6rb_320n_512bs_5e-05lr_Truedecay_0.8dr_decayingAtInterval15.pth') / (1024 ** 2), 'MB')
  File "/usr/lib/python3.10/genericpath.py", line 50, in getsize
    return os.stat(filename).st_size
FileNotFoundError: [Errno 2] No such file or directory: '/kaggle/working/models/train_3d_data_200ep_6rb_320n_512bs_5e-05lr_Truedecay_0.8dr_decayingAtInterval15.pth'
